Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
37,84,Rb,90,232,Th,0,,,0.000000000013791,0.0000000000041941,0.0000000000078972,0.000000000003405,2025-04-14
37,84,Rb,90,232,Th,2,,,0.000000000028932,0.0000000000087989,0.000000000027628,0.000000000011912,2025-04-14
37,85,Rb,90,232,Th,0,,,0.0000000030396,0.0000000010637,0.0000000036126,0.0000000015256,2025-04-14
37,86,Rb,90,232,Th,0,,,0.000000055609,0.000000017725,0.000000037947,0.000000014523,2025-04-14
37,86,Rb,90,232,Th,2,,,0.00000011666,0.000000037185,0.00000013275,0.000000050808,2025-04-14
37,87,Rb,90,232,Th,0,,,0.0000045782,0.0000015771,0.0000056057,0.0000020063,2025-04-14
37,88,Rb,90,232,Th,0,,,0.000062803,0.000022103,0.000069422,0.000025285,2025-04-14
37,89,Rb,90,232,Th,0,,,0.00072441,0.00024129,0.0009233,0.00030822,2025-04-14
37,90,Rb,90,232,Th,0,,,0.00031074,0.00010528,0.00024379,0.000076504,2025-04-14
37,90,Rb,90,232,Th,-2,,,0.0031613,0.001071,0.003945,0.001238,2025-04-14
37,91,Rb,90,232,Th,0,,,0.015133,0.0038088,0.017637,0.0039601,2025-04-14
37,92,Rb,90,232,Th,0,,,0.032717,0.0058471,0.029266,0.0048315,2025-04-14
37,93,Rb,90,232,Th,0,,,0.041887,0.0056063,0.037255,0.0045776,2025-04-14
37,94,Rb,90,232,Th,0,,,0.02816,0.004906,0.024829,0.0058027,2025-04-14
37,95,Rb,90,232,Th,0,,,0.018459,0.0049824,0.012749,0.0041589,2025-04-14
37,96,Rb,90,232,Th,0,,,0.0037549,0.0015116,0.0021231,0.00078475,2025-04-14
37,96,Rb,90,232,Th,-2,,,0.0037549,0.0015116,0.0021231,0.00078475,2025-04-14
37,97,Rb,90,232,Th,0,,,0.00264,0.00095147,0.00095937,0.00034874,2025-04-14
37,98,Rb,90,232,Th,0,,,0.00021617,0.00008421,0.000061925,0.000022812,2025-04-14
37,98,Rb,90,232,Th,5,,,0.00021617,0.00008421,0.000061925,0.000022812,2025-04-14
37,99,Rb,90,232,Th,0,,,0.000049499,0.000017286,0.000010879,0.0000038423,2025-04-14
37,100,Rb,90,232,Th,0,,,0.000002141,0.00000081706,0.00000056148,0.00000021056,2025-04-14
37,101,Rb,90,232,Th,0,,,0.00000005834,0.000000022492,0.0000000000031585,0.0000000000012538,2025-04-14
38,84,Sr,90,232,Th,0,,,0,0,0,0,2025-04-14
38,86,Sr,90,232,Th,0,,,0.0000000000061992,0.000000000001976,0.000000000007159,0.00000000000274,2025-04-14
38,87,Sr,90,232,Th,0,,,0.00000000040048,0.00000000013799,0.00000000063865,0.00000000022866,2025-04-14
38,87,Sr,90,232,Th,1,,,0.000000000080636,0.000000000027785,0.000000000080227,0.000000000028724,2025-04-14
38,88,Sr,90,232,Th,0,,,0.000000030111,0.000000010625,0.000000042208,0.000000015439,2025-04-14
38,89,Sr,90,232,Th,0,,,0.00000098104,0.00000033446,0.0000016534,0.00000057302,2025-04-14
38,90,Sr,90,232,Th,0,,,0.000019231,0.000007206,0.000031312,0.000011038,2025-04-14
38,91,Sr,90,232,Th,0,,,0.00020458,0.000069101,0.00031246,0.00010995,2025-04-14
38,92,Sr,90,232,Th,0,,,0.0017454,0.0005706,0.0022784,0.00073749,2025-04-14
38,93,Sr,90,232,Th,0,,,0.0064334,0.0019785,0.0091739,0.0025918,2025-04-14
38,94,Sr,90,232,Th,0,,,0.02087,0.0043141,0.028451,0.0053881,2025-04-14
38,95,Sr,90,232,Th,0,,,0.033909,0.0050742,0.031379,0.0047757,2025-04-14
