Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.5161932 ;  ;  ; 0.1192077 ;  ;  ; 683.9632 ; 
0.5204123 ;  ;  ; 0.09807645 ;  ;  ; 587.8907 ; 
0.5246313 ;  ;  ; 0.08013503 ;  ;  ; 503.043 ; 
0.5267409 ;  ;  ; 0.07244667 ;  ;  ; 465.5076 ; 
0.5288504 ;  ;  ; 0.0655867 ;  ;  ; 431.2722 ; 
0.5309599 ;  ;  ; 0.05950533 ;  ;  ; 400.2226 ; 
0.5330694 ;  ;  ; 0.05414011 ;  ;  ; 372.1752 ; 
0.535179 ;  ;  ; 0.04942197 ;  ;  ; 346.9022 ; 
0.5372885 ;  ;  ; 0.04528124 ;  ;  ; 324.1587 ; 
0.539398 ;  ;  ; 0.0416498 ;  ;  ; 303.693 ; 
0.5415075 ;  ;  ; 0.03846429 ;  ;  ; 285.2628 ; 
0.5447572 ;  ;  ; 0.0342985 ;  ;  ; 260.3358 ; 
0.5480069 ;  ;  ; 0.03087438 ;  ;  ; 238.9687 ; 
0.5512566 ;  ;  ; 0.02804421 ;  ;  ; 220.5414 ; 
0.5545063 ;  ;  ; 0.02569018 ;  ;  ; 204.5441 ; 
0.557756 ;  ;  ; 0.02371923 ;  ;  ; 190.5628 ; 
0.5610057 ;  ;  ; 0.02205817 ;  ;  ; 178.2627 ; 
0.5642554 ;  ;  ; 0.02064944 ;  ;  ; 167.3736 ; 
0.567505 ;  ;  ; 0.01944776 ;  ;  ; 157.6774 ; 
0.5740044 ;  ;  ; 0.01752982 ;  ;  ; 141.1902 ; 
0.5805038 ;  ;  ; 0.01609839 ;  ;  ; 127.7514 ; 
0.5870032 ;  ;  ; 0.01502166 ;  ;  ; 116.6553 ; 
0.5935025 ;  ;  ; 0.01421269 ;  ;  ; 107.4117 ; 
0.6032516 ;  ;  ; 0.01337801 ;  ;  ; 96.28213 ; 
0.6130007 ;  ;  ; 0.01289308 ;  ;  ; 87.76017 ; 
0.6227498 ;  ;  ; 0.01268793 ;  ;  ; 81.34123 ; 
0.6324988 ;  ;  ; 0.01272567 ;  ;  ; 76.70202 ; 
0.6422479 ;  ;  ; 0.01300213 ;  ;  ; 73.71809 ; 
